income_monthly,credit_score,debt_to_income,employment_years,loan_amount,prior_defaults,target
235.26,785.0,70.69,7.34,142.78,3,1
112.38,691.0,186.25,3.96,164.18,1,0
152.98,677.0,193.28,4.78,104.16,0,1
169.22,666.0,163.9,5.77,447.5,2,1
477.89,701.0,172.6,7.95,191.02,2,1
104.58,702.0,88.42,1.86,602.64,3,0
80.25,639.0,347.14,0.0,402.65,1,1
126.35,730.0,57.56,6.15,233.01,1,1
54.28,611.0,83.59,8.21,422.47,2,0
46.74,604.0,381.8,2.94,62.25,3,0
92.67,657.0,135.85,1.17,114.17,1,1
366.04,706.0,192.27,6.12,72.46,4,0
433.6,828.0,255.5,0.0,177.72,1,1
175.63,782.0,79.9,7.12,146.25,5,0
151.51,657.0,171.63,12.09,63.11,2,0
87.14,654.0,528.52,1.17,213.79,5,0
136.55,656.0,84.15,2.68,195.14,3,0
190.06,605.0,102.63,5.37,265.88,3,1
306.89,587.0,79.63,3.42,72.52,3,1
400.45,676.0,192.52,0.0,89.33,3,1
143.29,728.0,186.09,0.0,154.89,3,1
92.99,777.0,168.08,4.33,335.64,3,0
84.72,618.0,164.1,10.88,429.85,2,0
64.91,612.0,49.71,10.76,374.94,4,0
180.8,610.0,144.69,7.17,176.5,1,0
143.85,709.0,172.57,0.0,237.26,5,1
127.47,733.0,60.44,0.0,665.95,1,1
207.22,559.0,57.01,6.65,244.93,4,0
30.53,764.0,92.84,1.57,81.7,4,0
118.24,715.0,192.86,3.36,208.13,2,1
179.9,650.0,237.72,6.23,296.06,4,0
84.87,759.0,53.84,8.99,77.12,3,0
50.32,689.0,134.72,2.43,377.72,6,0
155.52,808.0,170.66,7.76,211.86,3,0
154.0,734.0,165.72,0.0,71.0,4,1
102.23,666.0,338.78,5.74,123.04,4,0
699.08,725.0,70.91,6.46,92.85,3,1
45.0,723.0,97.53,4.57,228.38,3,0
52.37,667.0,99.16,6.8,1036.82,1,1
74.21,605.0,104.96,1.56,135.33,1,1
411.03,689.0,43.62,6.02,332.55,4,0
52.36,709.0,414.09,2.06,40.76,3,0
87.34,617.0,425.92,0.9,88.04,3,0
81.02,774.0,79.94,0.0,195.54,5,0
302.13,580.0,181.95,6.95,231.26,3,1
89.89,664.0,134.98,4.22,171.99,2,0
163.71,684.0,327.7,4.19,148.77,1,1
440.02,656.0,281.04,0.0,133.12,2,1
121.66,719.0,205.58,6.12,226.53,3,0
36.01,699.0,369.17,7.89,884.58,2,1
152.29,680.0,155.2,6.35,259.87,5,0
452.57,574.0,98.87,9.0,236.84,1,1
135.99,626.0,51.64,4.54,216.18,7,0
235.93,721.0,53.62,2.57,50.16,4,1
247.99,804.0,148.36,4.68,114.1,5,0
176.77,519.0,86.78,9.22,723.56,4,1
431.7,661.0,185.32,4.36,44.77,2,1
81.73,688.0,263.93,0.0,401.8,3,1
132.55,687.0,62.5,6.69,158.58,2,0
95.92,678.0,307.63,4.54,137.99,6,0
114.36,732.0,60.91,5.36,610.92,1,1
629.37,620.0,177.56,9.65,113.5,1,1
179.26,667.0,172.48,4.07,100.96,3,0
458.85,645.0,86.15,2.43,230.3,6,0
138.85,623.0,289.9,0.53,309.87,6,1
270.44,709.0,99.28,8.15,308.75,4,1
89.54,732.0,318.2,12.55,275.25,0,1
65.23,645.0,310.51,5.24,120.31,1,1
70.11,690.0,96.03,0.0,158.52,5,0
425.05,685.0,145.35,7.78,139.9,4,0
66.9,656.0,185.27,2.51,170.62,2,1
34.69,679.0,122.99,5.51,111.25,1,0
69.51,801.0,286.63,0.0,57.12,2,0
924.56,649.0,73.87,5.11,148.69,4,0
279.88,640.0,63.14,0.0,208.54,1,0
59.47,760.0,167.13,12.87,256.58,1,1
407.38,773.0,42.41,0.0,225.39,9,0
94.02,730.0,210.81,6.28,442.77,1,1
79.79,680.0,77.02,6.52,194.61,5,0
33.02,694.0,104.5,4.37,198.51,1,0
209.29,721.0,159.09,4.46,122.68,1,0
71.49,724.0,379.98,6.02,166.42,3,0
1011.22,665.0,489.29,7.48,126.59,1,1
150.47,723.0,138.93,10.95,18.12,3,0
84.32,729.0,289.77,8.72,137.54,6,0
230.84,735.0,93.13,2.29,260.44,4,1
112.28,518.0,73.06,4.92,78.16,3,1
143.15,707.0,413.49,8.41,106.92,2,1
128.89,629.0,123.48,0.98,116.17,3,1
242.66,656.0,266.56,2.93,502.36,4,1
206.32,590.0,154.61,6.83,125.35,1,1
162.93,569.0,143.9,11.63,138.74,4,1
40.22,689.0,87.61,7.13,107.16,2,0
255.3,827.0,254.77,0.0,114.19,2,1
216.68,708.0,44.1,0.01,146.35,2,1
24.94,758.0,338.81,7.83,456.94,4,1
88.45,627.0,207.08,0.0,196.72,4,0
88.9,744.0,337.5,4.47,56.61,0,0
124.39,644.0,74.33,0.0,223.42,3,0
227.99,724.0,133.26,4.57,193.23,3,1
219.62,694.0,217.96,0.0,175.58,5,0
83.09,647.0,227.4,7.37,663.24,3,1
119.75,734.0,71.61,1.85,70.13,1,1
151.13,689.0,34.93,4.96,133.17,6,1
215.02,592.0,251.87,13.41,151.38,3,0
422.07,735.0,259.15,10.95,73.1,1,1
755.36,677.0,431.8,2.26,89.94,2,1
232.42,660.0,275.01,7.31,87.87,3,1
161.6,680.0,95.86,9.29,232.41,3,0
69.36,485.0,263.47,5.21,75.35,2,0
385.8,684.0,46.75,1.44,244.4,3,1
122.21,581.0,395.18,4.16,101.9,3,1
332.63,706.0,39.63,8.69,116.7,5,0
357.12,643.0,93.57,8.01,32.26,1,1
45.02,746.0,57.71,4.9,167.54,6,0
110.05,630.0,138.99,6.69,105.99,1,0
152.1,797.0,201.77,10.34,67.0,4,0
174.15,725.0,44.36,0.0,375.06,6,1
141.64,584.0,205.39,7.7,75.18,2,0
194.45,705.0,49.93,5.54,98.56,0,0
41.29,792.0,94.84,0.0,51.63,3,0
205.22,722.0,347.96,13.22,68.08,1,0
184.58,568.0,124.37,7.89,127.68,2,0
117.84,667.0,172.59,6.55,20.56,5,0
136.3,722.0,189.76,5.27,35.06,2,0
58.24,747.0,422.26,3.38,154.23,5,0
371.15,647.0,198.8,8.17,109.65,1,1
229.14,709.0,219.01,4.52,304.4,3,1
152.78,716.0,115.15,0.0,73.18,6,1
138.42,746.0,46.91,8.92,253.47,5,1
633.71,766.0,72.65,7.21,446.76,1,1
273.22,694.0,126.68,0.0,196.06,2,1
186.6,739.0,389.26,7.96,391.13,6,1
128.17,614.0,107.18,4.42,170.96,4,0
140.02,640.0,38.9,0.0,92.27,1,1
161.27,694.0,428.11,3.58,93.81,1,1
72.08,597.0,222.89,6.73,436.66,2,1
126.18,593.0,143.6,7.09,396.84,0,0
215.66,662.0,55.39,13.72,276.45,3,0
138.1,728.0,51.89,4.98,283.63,4,0
149.33,650.0,88.4,0.13,313.34,0,0
190.28,792.0,234.69,0.0,224.83,4,0
69.97,736.0,178.34,2.87,180.6,2,0
317.92,586.0,181.97,5.61,472.54,3,1
87.67,654.0,343.79,0.0,315.53,6,1
325.12,674.0,265.46,7.11,262.83,4,1
143.4,582.0,392.39,1.86,156.15,5,0
184.03,695.0,291.62,4.08,169.79,3,1
83.3,651.0,144.09,2.89,117.41,0,0
85.74,624.0,219.48,0.84,147.77,5,1
387.47,711.0,237.98,0.73,91.5,1,0
142.32,624.0,322.18,5.22,1283.08,2,1
83.94,711.0,108.16,2.24,207.62,4,1
128.38,743.0,74.54,6.71,48.81,3,0
119.79,655.0,539.2,5.33,307.1,4,1
147.57,589.0,237.52,6.96,82.77,5,1
211.6,704.0,64.07,0.0,56.11,2,1
116.08,823.0,45.72,0.0,54.22,0,0
452.9,551.0,115.21,7.26,301.95,2,1
276.08,665.0,214.46,2.42,23.25,3,1
53.61,658.0,75.35,10.9,127.87,3,0
79.29,669.0,247.36,2.82,26.33,2,0
58.3,733.0,160.97,2.27,148.62,3,0
97.92,666.0,83.8,1.35,871.32,3,1
86.51,737.0,79.58,7.12,246.22,2,0
375.77,705.0,196.58,0.79,193.41,5,0
198.38,726.0,75.19,0.0,166.71,2,1
506.81,549.0,87.7,0.0,155.4,3,1
103.62,738.0,161.16,10.13,96.7,6,0
49.73,716.0,115.86,12.35,56.11,4,0
163.56,658.0,37.0,5.0,374.92,2,0
449.69,721.0,262.64,0.0,88.6,1,1
75.32,749.0,173.47,1.82,200.74,3,0
67.63,647.0,374.22,5.77,83.64,5,1
242.5,727.0,117.68,7.5,254.77,1,1
125.99,514.0,110.09,7.24,258.21,5,0
200.78,750.0,33.49,5.03,104.99,6,0
57.53,667.0,57.65,5.49,40.35,4,0
117.18,611.0,194.13,7.11,150.12,1,1
219.38,579.0,48.8,6.52,156.15,4,0
225.95,624.0,66.52,0.0,92.65,8,0
212.88,539.0,241.62,5.69,99.06,2,1
272.64,772.0,150.1,8.78,228.24,5,0
110.1,699.0,236.08,9.21,53.19,4,1
76.22,568.0,165.7,9.55,103.68,4,0
25.93,584.0,205.97,5.71,439.82,7,0
89.68,720.0,221.84,10.77,262.86,2,1
153.51,812.0,195.53,1.16,168.38,5,1
160.71,726.0,175.4,0.93,36.31,4,1
145.32,668.0,105.35,8.55,377.21,1,0
128.25,791.0,113.66,7.07,182.14,0,1
54.1,674.0,279.95,5.94,72.92,4,0
487.09,652.0,249.1,6.77,109.48,4,0
267.66,629.0,155.41,5.54,148.87,7,1
175.48,700.0,72.91,8.54,123.69,3,0
124.26,629.0,133.68,1.5,120.9,3,1
135.41,749.0,126.07,3.83,244.3,3,0
341.26,733.0,63.3,0.87,76.34,5,0
83.13,720.0,143.79,10.05,65.13,6,0
171.35,768.0,21.75,5.01,159.26,2,0
126.02,636.0,106.18,7.05,163.79,2,0
57.71,609.0,32.36,6.1,136.96,3,0
83.95,591.0,168.66,6.35,601.62,2,1
69.67,602.0,93.23,5.16,55.28,4,0
177.53,649.0,61.38,4.59,451.72,1,1
162.78,810.0,198.38,4.23,178.86,2,0
42.83,850.0,288.89,6.48,234.28,2,0
154.6,524.0,50.73,12.92,195.97,1,1
96.65,608.0,166.11,8.78,455.65,3,1
157.0,672.0,77.08,2.97,118.8,4,1
130.6,616.0,57.38,2.15,81.02,1,1
385.14,658.0,90.73,3.09,347.67,4,1
259.96,670.0,77.84,8.55,162.89,1,1
180.88,607.0,307.45,5.36,582.69,3,1
95.04,691.0,208.73,0.0,189.3,2,1
762.49,631.0,48.76,8.18,130.73,1,1
289.34,589.0,157.12,0.0,92.53,0,1
167.43,659.0,189.75,12.54,157.66,2,0
177.73,693.0,35.63,3.35,473.93,2,0
186.27,671.0,67.16,1.77,105.8,7,1
345.43,603.0,450.01,0.0,102.65,2,1
309.02,808.0,61.73,9.95,91.68,3,1
249.53,689.0,54.3,13.58,225.53,5,0
528.5,712.0,74.99,4.33,70.91,2,1
157.66,706.0,164.63,5.05,56.9,3,1
73.86,645.0,218.41,6.48,232.03,2,1
143.21,659.0,57.88,0.6,302.53,5,1
137.44,599.0,215.41,6.27,112.36,5,1
99.24,663.0,61.93,12.88,151.55,1,0
43.8,773.0,142.48,5.66,281.46,3,1
309.55,547.0,218.84,7.28,143.44,0,1
330.13,694.0,58.81,1.65,141.67,3,0
72.57,724.0,28.26,0.0,101.2,4,0
222.79,611.0,54.1,0.0,161.19,4,1
116.39,732.0,181.34,7.53,151.04,3,0
118.11,668.0,73.27,13.28,90.58,0,0
693.14,642.0,386.8,6.46,306.58,7,1
663.12,645.0,223.31,0.85,552.93,6,1
153.8,669.0,401.4,2.7,53.32,3,1
121.96,623.0,323.98,6.3,117.2,1,1
174.58,664.0,84.68,5.92,246.9,8,0
309.71,656.0,184.83,3.72,133.77,3,0
65.94,710.0,101.67,6.5,146.94,2,0
178.41,654.0,284.08,6.53,270.68,1,0
306.33,652.0,184.8,0.46,43.36,3,0
171.04,583.0,74.85,7.35,133.87,4,0
193.57,743.0,124.98,3.21,192.04,3,1
47.79,748.0,298.17,5.11,179.64,3,0
301.82,809.0,16.87,3.72,37.99,2,0
87.29,702.0,250.58,7.56,128.13,2,1
41.19,691.0,325.83,0.0,165.74,2,1
33.68,652.0,126.22,2.24,271.28,2,1
117.54,668.0,499.4,1.73,44.66,2,1
185.39,711.0,167.1,4.26,83.75,5,0
123.71,600.0,95.49,0.03,898.27,1,1
497.16,762.0,481.74,10.05,593.98,3,1
101.51,519.0,455.69,8.15,99.15,7,1
45.9,753.0,217.56,7.55,373.02,2,0
59.87,645.0,227.58,5.52,119.76,6,0
448.55,758.0,96.27,14.58,368.56,7,0
148.65,683.0,91.71,7.25,83.48,3,0
145.12,677.0,71.3,1.72,121.13,0,1
226.78,729.0,412.8,2.99,270.89,4,0
98.8,677.0,106.87,0.0,93.14,1,0
183.63,744.0,360.4,3.64,66.12,5,0
65.55,771.0,179.71,8.27,87.8,3,0
30.64,750.0,534.1,10.35,105.33,7,0
113.4,615.0,459.41,0.0,99.66,4,1
602.12,662.0,120.46,10.63,187.23,1,1
130.78,578.0,70.44,1.64,192.44,0,1
310.3,739.0,142.08,3.79,109.02,0,0
19.22,622.0,170.92,3.22,245.11,2,0
131.44,731.0,100.15,6.86,60.37,2,0
420.28,619.0,308.99,13.96,347.01,5,1
239.04,592.0,160.03,10.61,379.14,1,1
43.0,579.0,75.21,12.23,175.08,1,0
57.51,567.0,119.73,4.93,181.3,3,1
87.8,850.0,42.36,9.06,46.0,1,0
58.62,722.0,208.54,3.74,151.06,3,1
220.06,654.0,19.87,0.0,162.57,3,0
133.45,726.0,217.69,5.81,240.86,4,1
304.39,758.0,174.82,5.79,669.2,4,1
167.98,701.0,128.37,0.0,61.38,0,1
78.3,727.0,61.63,5.57,84.18,3,0
125.34,671.0,51.97,6.51,123.03,3,1
73.53,596.0,731.48,0.0,77.94,0,1
259.18,664.0,47.6,4.11,225.55,2,1
129.19,689.0,73.47,3.0,97.87,1,0
57.26,685.0,157.74,8.82,239.64,2,0
67.91,560.0,210.87,0.0,65.53,5,0
101.85,663.0,286.89,7.63,89.93,3,1
83.95,804.0,315.75,4.7,420.62,3,1
389.3,607.0,222.63,8.61,395.54,1,1
89.94,652.0,283.3,7.37,199.79,2,1
104.41,850.0,95.99,0.0,164.29,2,1
488.4,756.0,547.34,0.0,131.28,5,1
269.25,643.0,246.1,0.0,202.01,2,1
254.68,673.0,197.97,6.42,136.88,5,1
279.21,711.0,142.28,0.0,133.18,3,0
78.12,564.0,111.16,7.44,198.4,4,1
121.76,572.0,121.91,9.57,146.86,8,0
34.56,792.0,181.33,4.64,368.0,5,0
209.72,644.0,216.69,12.27,106.87,2,1
209.39,632.0,654.3,4.35,82.12,6,1
94.44,626.0,136.9,16.41,198.14,3,0
168.25,609.0,202.08,5.36,98.07,1,0
255.18,757.0,149.54,0.0,249.04,3,1
122.39,733.0,392.47,2.2,118.96,2,0
208.27,604.0,282.93,0.0,203.99,3,0
67.21,627.0,100.24,1.81,150.21,1,0
66.75,600.0,61.5,14.27,105.35,2,0
254.21,630.0,195.86,0.0,260.86,5,1
53.35,671.0,176.46,5.44,42.68,3,0
262.95,691.0,146.93,3.33,150.31,6,1
207.1,807.0,68.75,8.21,125.81,10,0
292.62,832.0,318.21,1.95,292.32,4,1
128.84,602.0,226.97,5.45,130.09,2,1
293.81,683.0,113.06,6.78,381.69,5,0
424.72,612.0,56.88,1.16,188.83,2,0
374.13,625.0,703.72,6.77,62.07,3,1
296.19,704.0,312.55,0.91,163.33,3,1
81.58,772.0,252.55,5.03,86.31,5,0
78.32,744.0,128.47,3.87,309.64,3,1
250.52,652.0,94.18,9.93,125.38,4,0
58.27,593.0,99.53,7.98,62.58,2,1
97.91,594.0,564.93,4.92,306.6,4,1
74.57,728.0,66.8,2.29,161.93,2,0
66.62,656.0,67.94,5.08,204.61,3,0
274.84,572.0,138.67,7.16,59.49,6,0
359.62,729.0,549.92,0.0,570.24,3,1
97.8,653.0,42.1,1.61,166.21,4,0
181.02,572.0,258.7,4.89,425.12,4,1
232.25,796.0,53.53,5.65,83.17,2,0
96.9,676.0,162.12,7.06,87.96,1,0
129.32,740.0,200.99,5.39,53.89,2,0
47.24,737.0,159.72,4.24,438.06,6,0
52.23,818.0,101.52,2.95,249.59,1,0
90.37,689.0,74.51,7.15,215.9,3,0
88.92,685.0,55.76,0.64,58.06,8,0
145.45,538.0,183.98,5.37,682.01,2,1
222.61,524.0,222.39,7.29,184.93,2,1
729.8,691.0,62.37,0.98,52.54,5,1
33.97,711.0,292.08,2.59,136.26,3,0
34.39,674.0,331.02,15.25,83.23,4,0
277.42,689.0,97.7,10.87,247.6,4,0
53.38,710.0,175.55,8.25,157.12,5,0
318.16,596.0,229.31,11.25,718.02,3,1
129.99,707.0,103.85,4.33,67.71,3,0
252.04,768.0,474.77,11.38,208.64,3,0
279.95,669.0,53.0,4.14,202.24,5,1
152.87,789.0,34.97,7.72,240.75,0,0
57.93,697.0,444.8,3.72,229.78,4,1
143.73,714.0,94.69,0.13,149.39,2,1
42.48,687.0,260.0,4.8,277.93,1,0
130.01,520.0,75.2,8.2,333.69,6,1
647.33,714.0,127.25,3.3,90.23,7,1
75.91,627.0,170.31,7.23,388.8,6,1
80.73,741.0,170.05,0.0,130.26,1,1
30.33,705.0,852.3,2.8,48.72,3,1
193.29,679.0,89.86,4.23,108.73,3,0
130.32,662.0,68.72,0.0,39.62,1,1
270.99,674.0,208.9,9.89,160.57,2,1
83.81,793.0,191.39,7.77,66.59,4,0
57.26,700.0,140.06,7.19,225.47,6,0
217.89,706.0,150.45,1.48,144.51,3,0
111.76,703.0,445.63,16.51,115.18,1,0
127.31,681.0,752.89,3.41,187.18,5,1
426.29,604.0,172.15,4.77,712.54,0,1
255.47,611.0,149.85,7.92,136.46,1,1
268.94,821.0,328.42,4.2,239.58,3,0
59.39,620.0,267.25,8.05,200.73,1,1
431.03,613.0,109.67,9.48,75.0,0,1
51.01,715.0,295.65,3.86,102.0,3,0
488.15,617.0,257.79,0.0,28.85,1,1
67.03,698.0,675.84,3.25,491.83,1,1
118.34,728.0,124.55,5.98,65.72,6,0
32.55,755.0,72.4,8.88,326.05,7,0
136.55,706.0,54.37,4.12,391.87,4,0
43.51,797.0,68.73,6.27,138.88,5,0
138.27,659.0,189.69,9.4,307.07,0,1
151.25,715.0,74.19,13.35,260.21,1,0
459.61,606.0,291.13,10.38,350.71,4,1
478.72,629.0,306.31,5.38,52.57,3,1
158.23,786.0,162.19,13.16,96.55,5,0
171.71,820.0,80.45,5.22,73.08,4,0
142.58,564.0,234.46,0.46,137.98,2,1
335.15,782.0,238.27,2.54,176.14,2,1
197.47,657.0,33.42,10.17,103.89,1,0
92.4,663.0,419.29,4.71,233.69,1,1
288.64,735.0,60.4,3.41,117.44,2,1
183.47,736.0,237.06,4.75,83.56,0,1
97.77,674.0,84.22,5.31,326.01,5,0
87.66,490.0,100.94,0.0,78.98,5,1
146.68,694.0,81.47,8.73,340.09,0,1
104.8,645.0,72.23,4.58,146.15,2,1
97.25,642.0,87.39,1.83,65.56,0,0
205.78,700.0,149.82,0.69,174.06,3,0
226.23,784.0,294.37,5.98,52.19,3,0
155.41,779.0,187.41,4.35,237.13,2,0
828.78,638.0,222.01,4.51,624.58,4,1
306.76,689.0,61.51,12.85,138.04,3,0
181.79,621.0,73.06,8.11,173.4,4,1
81.27,681.0,97.25,0.0,82.24,5,0
87.58,676.0,322.01,4.94,675.94,1,1
415.14,770.0,181.19,1.63,167.73,3,1
153.02,743.0,131.67,1.08,223.76,5,0
218.58,678.0,79.85,3.17,96.34,4,0
415.25,646.0,252.77,5.8,226.35,3,1
81.04,607.0,25.58,2.67,93.27,6,1
117.3,535.0,82.48,9.72,85.76,3,0
103.01,648.0,151.14,5.3,82.1,1,0
98.26,719.0,284.73,12.0,282.36,1,0
56.27,606.0,127.86,7.71,266.64,2,1
103.95,651.0,80.76,0.0,71.15,2,0
100.48,778.0,33.34,5.58,99.47,2,0
100.09,644.0,121.74,3.8,266.73,0,1
87.03,681.0,109.71,2.34,255.7,2,0
449.0,658.0,393.71,3.02,56.45,3,1
194.0,693.0,100.55,6.25,220.54,4,0
70.63,807.0,120.29,2.42,56.73,5,0
216.11,643.0,188.97,0.0,936.51,4,1
142.38,754.0,115.17,0.02,120.34,4,1
56.51,525.0,377.66,4.15,174.04,3,1
315.81,661.0,156.66,5.92,439.03,3,0
216.81,662.0,135.99,8.63,63.11,4,0
146.17,703.0,38.72,7.84,107.07,5,0
230.72,689.0,45.93,3.44,105.28,3,0
425.58,752.0,188.8,6.18,192.16,1,1
913.18,726.0,156.87,1.39,53.1,6,1
105.26,706.0,74.35,3.04,159.58,3,1
509.4,656.0,66.29,9.54,231.39,2,1
200.29,717.0,110.36,0.79,78.59,2,0
179.7,735.0,306.21,12.13,299.24,0,1
134.93,708.0,66.96,5.25,116.51,2,1
438.43,700.0,102.07,3.97,99.46,2,1
90.39,717.0,35.56,0.0,174.89,2,1
274.8,683.0,225.19,6.0,92.64,4,1
315.21,670.0,44.88,3.95,28.86,1,0
186.81,614.0,143.72,5.27,312.76,2,1
105.76,586.0,102.4,6.37,131.08,3,0
578.55,611.0,508.88,6.25,131.69,1,0
107.54,784.0,60.09,9.46,117.39,1,0
271.96,653.0,80.4,1.24,94.5,4,1
161.42,621.0,193.75,6.74,251.92,2,0
92.16,701.0,273.22,0.79,273.06,1,1
388.78,771.0,119.41,0.61,74.6,1,1
122.47,667.0,248.03,5.64,202.5,4,1
60.06,690.0,187.32,6.81,236.37,5,0
204.15,651.0,152.84,10.84,81.52,3,0
60.85,624.0,85.31,0.0,290.59,2,1
101.05,749.0,350.71,0.0,88.53,4,1
211.86,683.0,88.36,10.11,380.66,2,0
168.43,657.0,179.07,4.97,133.23,3,0
79.58,740.0,67.13,8.77,117.92,4,0
323.72,723.0,478.01,2.65,113.59,3,1
224.36,834.0,412.15,8.2,134.97,5,0
49.79,633.0,185.56,10.31,118.39,0,0
68.31,595.0,86.03,0.0,58.52,2,1
654.94,695.0,423.64,0.0,631.9,1,1
83.61,611.0,70.78,2.69,158.66,2,1
269.16,816.0,231.63,8.14,129.94,4,0
164.08,719.0,207.32,6.76,53.75,4,1
331.42,731.0,177.26,9.2,55.4,5,0
73.94,716.0,197.05,4.26,92.37,2,1
187.82,662.0,371.46,4.09,318.07,6,1
115.91,687.0,29.83,5.42,90.98,1,1
157.31,641.0,40.02,4.72,251.25,1,0
214.23,752.0,112.12,2.49,142.85,4,0
213.56,625.0,69.37,2.93,578.93,3,1
92.43,531.0,142.71,5.99,246.07,3,1
115.73,711.0,83.41,1.95,101.78,3,1
56.21,723.0,81.44,10.18,152.19,3,0
182.19,498.0,352.17,7.98,41.18,5,0
213.13,665.0,103.07,0.71,286.3,2,1
110.65,547.0,86.33,1.32,126.95,2,1
180.54,676.0,320.1,13.81,50.11,1,0
573.17,629.0,79.37,0.0,128.77,4,1
54.77,715.0,114.54,6.58,45.42,5,0
385.3,712.0,270.99,7.29,108.58,1,1
67.85,754.0,442.99,6.21,167.04,4,1
510.79,661.0,185.09,10.52,180.63,3,1
120.59,690.0,104.57,0.0,87.73,3,0
206.72,624.0,214.6,0.74,194.21,6,0
615.51,694.0,99.98,1.13,218.74,3,1
91.42,661.0,301.61,9.07,136.46,2,0
354.25,715.0,436.24,5.05,418.21,4,1
142.02,710.0,197.05,0.79,224.88,6,0
337.71,655.0,258.26,0.85,188.95,4,1
230.22,632.0,183.78,6.46,276.0,2,1
136.22,746.0,86.29,4.79,1078.56,4,1
39.08,648.0,99.95,7.14,385.11,3,1
212.81,651.0,103.29,10.96,131.35,2,0
190.14,605.0,150.29,1.59,48.62,4,1
229.32,606.0,65.8,3.56,351.16,3,1
165.66,705.0,48.21,6.53,127.07,4,0
106.01,682.0,544.47,3.83,319.97,4,1
94.82,642.0,130.25,2.42,34.37,5,0
61.61,679.0,486.6,0.83,144.79,2,1
62.6,740.0,383.34,1.34,88.19,3,0
228.07,696.0,83.45,5.04,73.26,5,0
145.57,750.0,511.99,0.5,538.93,2,1
43.49,760.0,54.29,0.0,100.47,3,0
216.45,608.0,116.54,16.5,248.25,6,0
85.78,657.0,198.18,3.33,176.37,3,1
214.3,687.0,82.74,4.68,142.53,5,0
194.08,811.0,52.43,9.54,125.11,3,0
328.68,707.0,119.17,2.49,96.29,2,0
275.62,712.0,112.07,1.96,62.34,3,1
